79,55
79,59,55
81,62,59,55
79,62,59,55
81,62,59,55
83,62,59,55
81,54
79,54
78,54
76,57,54
74,57,54
74,62,57,54
67,52
66,52
67,52
69,55,52
67,55,52
66,55,52
67,55,52
69,55,52
67,55,52
69,55,52
67,55,52
69,61,55,52
67,61,55,52
69,61,55,52
67,61,55,52
69,61,55,52
61,55,52
67,61,55,52
67,66,61,55,52
66,61,55,52
67,61,55,52
69,50
67,50
66,50
67,50
66,50
64,50
64,54,50
62,54,50
62,57,54,50
62,57,54,48
74,47
74,50,47
76,55,50,47
74,55,50,47
76,55,50,47
77,55,50,47
76,48
74,48
72,48
71,52,48
69,52,48
69,57,52,48
79,57,50
78,57,50
76,57,50
78,57,50
79,52
78,52
81,60,48
79,60,48
78,60,50
76,60,50
74,59,50
72,59,50
72,57,50
72,55,50
81,54,50
81,52,50
72,54,50
71,55,43
67,55,43
67,57,43
66,57,43
66,59,43
67,59,50
66,59,50
67,59,50
67,59,52
67,59,50
67,59,52
67,59,54
71,55
71,59,55
73,59,64,55
71,59,64,55
73,59,64,55
74,59,64,55
74,57,55
73,57,55
71,57,55
69,57,55
69,55,74
69,54,74
69,55,74
69,54,74
69,52,74
69,54,74
69,74,59
67,74,59
67,71,74,59
67,71,76,74,59
67,71,76,79,52
67,71,76,79,59,52
71,76,79,59,52
76,79,59,52
79,59,52
81,64,52
79,64,52
78,64,52
79,64,52
81,64,52
79,64,52
81,64,52
79,64,52
81,64,54
79,64,54
81,64,54
79,64,54
81,64,54
79,64,54
78,62,55
79,62,55
79,61,57
78,62,57
76,62,57
74,64,57
73,64,57
71,64,57
73,64,57
74,64,59
73,64,59
74,64,59
73,64,59
74,64,59
73,64,57
76,64,55
81,54
79,54
78,54
76,54
74,57,54
69,57,54
69,57,62,54
71,57,62,54
72,57,62,54
71,55
69,55
67,55
66,55
64,59,55
74,59,55
73,59,55
73,64,55
74,64,55
76,64,55
74,66,57
73,66,57
71,66,57
69,66,57
79,64,57
71,64,57
71,66,57
71,67,57
73,67,57
73,67,50
74,67,50
76,67,50
74,67,50
73,67,50
73,66,50
74,57,66,50
74,62,66,50
79,55
79,59,55
81,62,59,55
79,62,59,55
81,62,59,55
83,62,59,55
81,54
79,54
78,54
76,57,54
74,57,54
74,62,57,54
67,52
66,52
67,52
69,55,52
67,55,52
66,55,52
67,55,52
69,55,52
67,55,52
69,55,52
67,55,52
69,61,55,52
67,61,55,52
69,61,55,52
67,61,55,52
69,61,55,52
61,55,52
67,61,55,52
67,66,61,55,52
66,61,55,52
67,61,55,52
69,50
67,50
66,50
67,50
66,50
64,50
64,54,50
62,54,50
62,57,54,50
62,57,54,48
74,47
74,50,47
76,55,50,47
74,55,50,47
76,55,50,47
77,55,50,47
76,48
74,48
72,48
71,52,48
69,52,48
69,57,52,48
79,57,50
78,57,50
76,57,50
78,57,50
79,52
78,52
81,60,48
79,60,48
78,60,50
76,60,50
74,59,50
72,59,50
72,57,50
72,55,50
81,54,50
81,52,50
72,54,50
71,55,43
67,55,43
67,57,43
66,57,43
66,59,43
67,59,50
66,59,50
67,59,50
67,59,52
67,59,50
67,59,52
67,59,54
71,55
71,59,55
73,59,64,55
71,59,64,55
73,59,64,55
74,59,64,55
74,57,55
73,57,55
71,57,55
69,57,55
69,55,74
69,54,74
69,55,74
69,54,74
69,52,74
69,54,74
69,74,59
67,74,59
67,71,74,59
67,71,76,74,59
67,71,76,79,52
67,71,76,79,59,52
71,76,79,59,52
76,79,59,52
79,59,52
81,64,52
79,64,52
78,64,52
79,64,52
81,64,52
79,64,52
81,64,52
79,64,52
81,64,54
79,64,54
81,64,54
79,64,54
81,64,54
79,64,54
78,62,55
79,62,55
79,61,57
78,62,57
76,62,57
74,64,57
73,64,57
71,64,57
73,64,57
74,64,59
73,64,59
74,64,59
73,64,59
74,64,59
73,64,57
76,64,55
81,54
79,54
78,54
76,54
74,57,54
69,57,54
69,57,62,54
71,57,62,54
72,57,62,54
71,55
69,55
67,55
66,55
64,59,55
74,59,55
73,59,55
73,64,55
74,64,55
76,64,55
74,66,57
73,66,57
71,66,57
69,66,57
79,64,57
71,64,57
71,66,57
71,67,57
73,67,57
73,67,50
74,67,50
76,67,50
74,67,50
73,67,50
73,66,50
74,57,66,50
74,62,66,50
69,62
67,62
69,62
69,62,64
71,62,66
71,62,64
69,62,66
67,62,66
69,62,66
71,62,66
69,62,66
71,62,66
69,62,66
71,62,66
62,66
69,62,66
